대단원,중단원,년도,문제 내용,모범 답안,해설
공정관리,품질관리,2020년 1회,품질관리 도구 중 특성요인도(Characteristics Diagram)에 대해 설명하시오.,결과에 어떤 원인이 관계하는지를 알 수 있도록 생선뼈 모양으로 작성한 그림(어골도),QC 7대 도구 중 특성요인도의 정의입니다[cite: 16].
철골공사,철골공사 일반,2020년 1회,H형강 단순지지 철골보의 하중 조건 및 단면 상수가 주어졌을 때 최대 처짐(mm)을 구하시오.,85.59 mm,철골보의 최대 처짐량 산출 문제입니다[cite: 16].
기초공사,지반조사 및 흙막이공법,2019년 4회,히빙(Heaving) 현상에 대해 현장의 모식도를 간략히 그려서 설명하시오.,Sheet Pile 등의 흙막이 벽 좌우측 토압 차에 의해 흙파기 벽 밑으로 흙이 미끄러져 들어오는 현상,연약지반 흙막이 공사 중 발생하는 히빙 현상 정의입니다[cite: 17].
콘크리트공사,거푸집공사,2019년 4회,바닥슬래브 콘크리트 타설을 위한 대형거푸집으로 부재가 일체화되어 수평·수직 이동이 가능한 거푸집은?,플라잉 폼 (Flying Form) / 테이블 폼 (Table Form),시스템 거푸집의 종류 중 하나입니다[cite: 17].
철근콘크리트공사,철근콘크리트 구조설계,2019년 4회,전단보강철근 배치 구간 내에서 배근되어야 할 수직스터럽의 최대간격 기준을 구하시오.,d/4 (550/4 = 137.5mm)와 300mm 중 작은 값인 137.5mm 이하,전단철근 최대 배치 간격 산정 기준입니다[cite: 17].
마감공사,수지공사 및 도장공사,2019년 4회,시멘트 중의 수산화칼슘이 공기 중의 탄산가스와 반응하여 벽체 표면에 생기는 흰 결정체의 명칭을 쓰시오.,백화 (Efflorescence),콘크리트 및 조적조 백화 현상 정의입니다[cite: 17].
마감공사,지붕 및 홈통공사,2019년 2회,금속판 지붕공사에서 금속기와의 설치 순서를 번호로 나열하시오.,④(Purlin 설치) → ①(서까래 설치) → ②(기와걸이 미송각재 설치) → ⑥(금속기와 설치),금속기와 설치 시공 순서입니다[cite: 18].
철골공사,철골공사 일반,2019년 2회,TS(Torque Shear)형 고장력볼트의 시공 순서를 번호로 나열하시오.,④(렌치 장착) → ②(스위치 켜고 체결) → ①(핀테일 제거) → ③(렌치 당겨 분리),TS고장력볼트 조임 시공 순서입니다[cite: 18].
철골공사,철골공사 일반,2019년 2회,H-294×200×10×15 형강 치수를 단면 형상의 표시방법에 따라 기재하시오.,H-294×200×10×15,H형강 규격 표기법입니다[cite: 18].
철골공사,철골공사 일반,2019년 2회,강재의 항복비(Yield Strength Ratio)를 설명하시오.,인장강도에 대한 항복강도의 비 (항복강도 / 인장강도),강재의 기계적 성질 중 항복비 정의입니다[cite: 18].
목구조,목구조 일반,2019년 1회,목재를 천연건조(자연건조)할 때의 장점을 2가지 쓰시오.,① 인공건조에 비해 비교적 균일한 건조가 가능하다. ② 건조에 의한 결함이 감소되며 시설투자비용 및 작업비용이 적다.,목재 천연건조의 장점입니다[cite: 19].
콘크리트공사,콘크리트 시공,2019년 1회,콘크리트 구조물의 화재 시 급격한 고열현상에 의하여 발생하는 폭렬(Explosive Fracture) 현상 방지 대책을 2가지 쓰시오.,① 내화피복을 실시하여 열의 침입을 차단한다. ② 흡수율이 작고 내화성이 있는 골재를 사용한다.,콘크리트 폭렬 방지 대책입니다[cite: 19].
기초공사,지반조사 및 흙막이공법,2019년 1회,흙막이공법 중 어스앵커(Earth Anchor) 공법에 대하여 설명하시오.,흙막이 배면을 굴착 후 Anchor체를 설치하여 주변지반을 지지하는 흙막이 공법,어스앵커 공법의 정의입니다[cite: 19].
철골공사,철골공사 일반,2019년 1회,강구조물 주위에 철근배근을 하고 그 위에 콘크리트가 타설되어 일체가 되도록 한 초고층 구조물 하층부의 복합구조 명칭을 쓰시오.,매입형 합성기둥 (Composite Column),합성기둥 구조의 설명 및 명칭입니다[cite: 19].
총론,구조 일반,2019년 1회,건축물의 기초 부분 등에 적층고무 또는 미끄럼받이 등을 넣어서 지진에 대한 건축물의 흔들림을 감소시키는 구조의 명칭을 쓰시오.,면진구조,면진구조의 정의입니다[cite: 19].
총론,적산 및 견적,2019년 1회,제시된 조건하에서 파워쇼벨의 1시간당 추정 굴착작업량을 산출하시오.,33.47 m³,파워쇼벨 1시간당 작업량 산출 문제입니다[cite: 19].
철골공사,철골공사 일반,2019년 1회,전용조임기를 사용하여 볼트의 핀테일이 파단될 때까지 조임시공하는 고장력볼트의 명칭을 쓰시오.,TS(Torque Shear) Bolt,TS 고장력볼트의 설명 및 명칭입니다[cite: 19].
콘크리트공사,콘크리트 시공,2019년 1회,콘크리트 경화 시 수축에 의한 균열을 방지하고 슬래브 수평움직임을 조절하기 위하여 인위적으로 약한 부분을 만드는 줄눈 명칭을 쓰시오.,조절줄눈 (Control Joint),콘크리트 조절줄눈의 정의입니다[cite: 19].
철골공사,철골공사 일반,2019년 1회,비틀림이 생기지 않고 휨변형만 유발하는 위치인 전단중심(Shear Center)의 위치를 각 형강 단면에 표기하시오.,각 형강 단면별 전단중심 위치 도해,형강 종류별 전단중심 위치 표기 문제입니다[cite: 19].
콘크리트공사,적산 및 견적,2018년 4회,제시된 도로 포장 조건에서 7㎥ 레미콘을 이용하여 하루 8시간 작업 시 레미콘 배차 간격은 몇 분인가?,37 분,레미콘 배차 간격 산출 문제입니다[cite: 20].
철근콘크리트공사,철근콘크리트 구조설계,2018년 4회,양단힌지로 지지된 콘크리트 기둥의 약축에 대한 세장비가 150이 되기 위한 기둥의 길이를 구하시오.,6.495 m,기둥의 세장비 및 길이 산정 문제입니다[cite: 20].
총론,입찰 및 계약,2018년 4회,종합건설제도(Genecon)에 대하여 간단히 설명하시오.,종합적인 건설관리만 맡고 부분별 공사는 하청업자에게 넘겨주어 공사를 진행하는 형태,종합건설제도의 개념입니다[cite: 20].
구조역학,구조역학 일반,2018년 4회,단순보의 전단력도가 주어졌을 때 보의 최대 휨모멘트를 구하시오.,18 kN·m (전단력이 0인 위치에서 발생),전단력도를 이용한 최대 휨모멘트 산출 문제입니다[cite: 20].
콘크리트공사,거푸집공사,2018년 2회,System 거푸집 중 터널폼(Tunnel Form)을 설명하시오.,대형 형틀로서 슬래브와 벽체 콘크리트 타설을 일체화하기 위해 ㄱ자형 또는 ㄷ자형으로 짜서 아파트 등에 사용하는 거푸집,터널폼 거푸집의 설명입니다[cite: 16].
철근콘크리트공사,철근콘크리트 구조설계,2018년 2회,압축연단 극한변형률이 0.003에 도달할 때 최외단 인장철근 순인장변형률이 0.005 이상인 단면의 명칭을 쓰시오.,인장지배단면,철근콘크리트 부재의 단면 한계 명칭입니다[cite: 16].
마감공사,석공사,2018년 2회,깨진 석재를 붙일 수 있는 접착제를 1가지 쓰시오.,에폭시(Epoxy) 수지 접착제,석재 보수용 접착제 종류입니다[cite: 16].
마감공사,수지공사 및 도장공사,2018년 2회,특수화학제 첨가 레디믹스트몰탈에 대리석·세라믹 분말을 혼합하여 바르는 미장 공법의 명칭을 쓰시오.,수지미장 (또는 수지 플라스터 바름),수지미장 공법의 정의입니다[cite: 16].
마감공사,수장공사,2018년 2회,수장공사 시 바닥에서 1m~1.5m 정도의 높이까지 널을 댄 것의 명칭을 쓰시오.,징두리벽,수장공사 부위별 명칭입니다[cite: 16].
총론,입찰 및 계약,2018년 2회,건축주와 시공자가 공사실비를 확인정산하고 정해진 보수율에 따라 지급하는 방식을 쓰시오.,실비청산(정산) 보수가산방식,공사 계약 방식의 종류입니다[cite: 16].
구조역학,구조역학 일반,2018년 2회,제시된 단면 형상의 단면2차모멘트의 비 I_x / I_y 를 구하시오.,4,단면2차모멘트 비 산출 문제입니다[cite: 16].
콘크리트공사,콘크리트 성질,2018년 1회,고강도 콘크리트의 폭렬현상에 대하여 설명하시오.,내·외부 조직이 치밀한 고강도 콘크리트에서 화재 시 고압 수증기가 외부로 분출되지 못해 폭파되듯이 터지는 현상,고강도 콘크리트 폭렬현상 설명입니다[cite: 17].
마감공사,마감공사 일반,2018년 1회,드라이비트 등의 못박기총을 사용하여 콘크리트나 강재 등에 박는 특수 못의 명칭을 쓰시오.,드라이브 핀(Drive Pin),드라이브 핀의 정의입니다[cite: 17].
기초공사,적산 및 견적,2018년 1회,흐트러진 흙을 이용하여 특정 면적과 두께로 터돋우기 할 때 시공 완료 후 남는 흐트러진 상태의 토량을 산출하시오.,3.33 m³,토량 환산 및 남은 토량 산출 문제입니다[cite: 17].
철골공사,철골공사 일반,2018년 1회,H-400×300×9×14 형강의 플랜지 판폭 두께비를 구하시오.,10.71,형강 플랜지 판폭 두께비 산출 문제입니다[cite: 17].
콘크리트공사,콘크리트 시공,2018년 1회,콘크리트 블록 압축강도 시험 결과값이 주어졌을 때 합격 및 불합격을 판정하시오.,평균 압축강도 7.42 N/mm² < 기준 8.0 N/mm² 이므로 불합격,블록 압축강도 시험 결과 판정 문제입니다[cite: 17].
총론,적산 및 견적,2018년 1회,바닥 미장면적과 품셈을 기준으로 1일 작업 인원 투입 시 작업소요일을 구하시오.,5일,미장공사 작업소요일 산출 문제입니다[cite: 17].
총론,입찰 및 계약,2017년 4회,민간 주도하에 Project 완공 후 발주처에게 소유권을 양도하고 발주처의 임대료를 통하여 투자비가 회수되는 민간투자사업 방식은?,BTL (Build-Transfer-Lease),BTL 방식의 정의입니다[cite: 18].
적산 및 견적,가설공사,2017년 4회,제시된 평면과 건물높이 13.5m일 때 쌍줄비계의 비계면적을 산출하시오.,907.2 m²,쌍줄비계 비계면적 산출 문제입니다[cite: 18].
총론,공사관리,2017년 4회,가치공학(Value Engineering)의 기본추진절차 6단계를 순서대로 쓰시오.,대상선정 ➔ 정보수집 ➔ 기능정리 ➔ 기능정의 ➔ 아이디어 발상 ➔ 기능평가 ➔ 실시 및 제안,VE 기본추진절차입니다[cite: 18].
기초공사,지반조사 및 흙막이공법,2017년 4회,샌드드레인(Sand Drain) 공법을 설명하시오.,연약지반에 모래기둥을 조성하고 상부 하중을 가해 압밀을 촉진시키는 공법,샌드드레인 공법의 정의입니다[cite: 18].
철골공사,철골구조 및 접합,2017년 4회,CFT(Concrete Filled Steel Tube) 구조를 간단히 설명하시오.,강관 내부의 콘크리트 충전으로 내력 상승 및 강관의 국부좌굴을 보강하는 구조,CFT 구조의 설명입니다[cite: 18].
콘크리트공사,콘크리트 성질,2017년 4회,고강도 콘크리트의 폭렬현상에 대하여 설명하시오.,화재 시 고열로 내부 수증기가 빠져나가지 못해 표면이 파열되는 현상,고강도 콘크리트 폭렬현상 설명입니다[cite: 18].
기초공사,지반조사 및 흙막이공법,2017년 2회,탑다운 공법(Top-Down Method)에서 작업공간이 협소한 부지를 넓게 쓸 수 있는 이유는?,1층 슬래브가 먼저 타설되어 작업공간으로 활용이 가능하기 때문,탑다운 공법의 장점 및 특징입니다[cite: 19].
철골공사,철골구조 및 접합,2017년 2회,주어진 조건에서의 용접유효길이(Le)를 산출하시오.,117.22 mm,용접유효길이 산출 문제입니다[cite: 19].
마감공사,방수 및 방습공사,2017년 2회,시트(Sheet) 방수공법의 시공순서를 쓰시오.,바탕처리 ➔ 프라이머칠 ➔ 접착제칠 ➔ 시트붙이기 ➔ 보호층 설치,시트방수 시공순서입니다[cite: 19].
마감공사,커튼월공사,2017년 2회,커튼월 구조의 스팬드럴(Spandrel) 방식을 설명하시오.,수평선을 강조하는 창과 스팬드럴 조합으로 이루어지는 방식,커튼월 스팬드럴 방식 설명입니다[cite: 19].
총론,입찰 및 계약,2017년 2회,BTL(Build-Transfer-Lease) 계약방식을 설명하시오.,민간 주도하에 완공 후 소유권을 양도하고 임대료를 통해 투자비를 회수하는 방식,BTL 계약방식의 설명입니다[cite: 19].
총론,입찰 및 계약,2017년 2회,공개경쟁입찰의 순서를 번호로 쓰시오.,입찰공고 ➔ 현장설명 ➔ 입찰등록 ➔ 견적 ➔ 입찰 ➔ 낙찰 ➔ 계약,공개경쟁입찰 절차입니다[cite: 19].
구조역학,구조역학 일반,2017년 2회,원형과 정사각형의 단면적과 단면계수비를 구하시오.,1 : 1.182,단면계수 비 산출 문제입니다[cite: 19].
콘크리트공사,콘크리트 성질,2017년 1회,철근콘크리트 공사에서 헛응결(False Set)에 대하여 기술하시오.,시멘트에 물 주입 시 10~20분 내에 굳어졌다가 다시 묽어지고 이후 순조롭게 경화되는 현상,헛응결의 정의입니다[cite: 20].
철근콘크리트공사,철근콘크리트 구조설계,2017년 1회,주어진 조건에 따른 D22 인장이형철근의 기본정착길이를 구하시오.,972.76 mm,기본정착길이 산출 문제입니다[cite: 20].
철골공사,철골구조 및 접합,2017년 1회,단순 인장접합부의 고력볼트 설계전단강도를 구하시오.,513.18 kN,고력볼트 설계전단강도 산출 문제입니다[cite: 20].
마감공사,방수 및 방습공사,2017년 1회,지하실 바깥방수 시공순서를 번호로 쓰시오.,밑창콘크리트 ➔ 잡석다짐 ➔ 바닥콘크리트 ➔ 바닥방수층 ➔ 외벽콘크리트 ➔ 외벽방수 ➔ 보호누름벽돌 ➔ 되메우기,지하실 바깥방수 시공순서입니다[cite: 20].
총론,입찰 및 계약,2017년 1회,BOT(Build-Operate-Transfer) 방식을 설명하시오.,민간이 주도하여 설계·시공 후 일정기간 운영하여 투자금 회수 후 시설물과 운영권을 공공에 이전하는 방식,BOT 계약방식의 설명입니다[cite: 20].
공정관리,품질관리,2017년 1회,품질관리 도구 중 특성요인도(Characteristics Diagram)에 대해 설명하시오.,결과에 어떤 원인이 관계하는지를 알 수 있도록 나뭇가지 모양으로 작성한 그림,특성요인도의 설명입니다[cite: 20].
공정관리,네트워크 공정표,2017년 1회,PERT 기법에 의한 기대시간(Expected Time)을 구하시오.,6.67,PERT 기대시간 산출 문제입니다[cite: 20].
공정관리,공정관리 일반,2017년 1회,WBS(Work Breakdown Structure)의 정의를 쓰시오.,프로젝트의 모든 작업내용을 계층적으로 분류한 가계도와 유사한 형식의 구조,WBS의 정의입니다[cite: 20].
